state	action
669	-1
670	1
671	1
672	0
673	1
674	-1
675	1
676	-1
677	-1
678	-1
679	-1
680	-1
681	-1
682	0
683	-1
684	0
685	1
686	0
687	0
688	-1
689	0
690	1
691	0
692	-1
693	1
694	1
695	0
696	-1
697	1
698	-1
699	1
700	0
701	0
702	1
703	0
704	-1
705	1
706	1
707	1
708	-1
709	-1
710	-1
711	1
712	1
713	1
714	0
715	1
716	-1
717	-1
718	-1
719	0
720	1
721	1
722	-1
723	-1
724	-1
725	-1
726	0
727	0
728	0
729	1
730	1
731	-1
732	1
733	0
734	1
735	-1
736	0
737	1
738	1
739	-1
740	1
741	1
742	-1
743	-1
744	-1
745	0
746	-1
747	0
748	-1
749	-1
750	0
751	-1
752	0
753	1
754	-1
755	0
756	1
757	-1
758	1
759	1
760	-1
761	1
762	-1
763	1
764	0
765	-1
767	0
768	0
769	1
771	-1
772	0
773	-1
774	0
775	-1
776	1
777	1
778	1
779	-1
780	-1
781	-1
782	0
783	1
784	0
785	0
786	1
787	-1
788	-1
789	1
790	1
791	-1
792	0
793	0
794	1
795	-1
796	1
797	0
798	1
799	1
800	0
801	0
802	0
803	-1
804	1
805	1
806	0
807	1
808	0
809	-1
810	-1
811	1
812	-1
813	0
814	-1
815	0
816	1
817	1
818	1
819	-1
820	-1
821	1
822	1
823	1
824	-1
825	1
826	0
827	0
828	0
829	0
830	1
831	1
832	-1
833	1
834	-1
835	0
836	0
837	0
838	-1
839	0
840	-1
841	1
842	-1
843	1
844	1
845	-1
846	1
847	1
848	1
849	1
850	1
851	0
852	1
853	-1
854	1
856	1
857	1
858	1
859	1
860	0
861	0
862	-1
863	-1
864	1
865	-1
866	1
867	1
868	-1
869	0
870	1
871	1
872	0
873	1
874	-1
875	1
876	1
877	1
878	-1
879	-1
880	0
881	-1
882	-1
883	-1
884	1
885	0
886	0
887	0
888	1
889	-1
890	-1
891	0
892	1
893	0
895	1
896	1
897	0
899	1
900	1
901	-1
902	0
903	-1
904	0
905	0
906	1
907	-1
908	1
909	1
910	-1
911	0
912	1
913	0
914	-1
915	-1
916	0
917	0
918	-1
919	1
920	-1
921	-1
922	1
923	1
924	1
925	-1
926	0
927	0
928	1
929	1
930	0
931	-1
932	0
933	0
934	-1
935	1
936	0
937	0
938	-1
939	1
940	1
941	1
942	-1
943	1
944	0
945	0
946	0
947	-1
948	1
949	0
950	-1
951	1
952	0
953	-1
954	-1
955	0
956	-1
957	0
958	1
959	-1
960	1
961	0
962	-1
963	-1
964	0
965	-1
966	-1
967	1
968	0
969	0
970	1
971	0
972	1
973	1
974	1
975	0
976	1
977	-1
978	0
979	0
980	1
981	-1
982	0
